country,overall,male,female,isoalpha3
Afghanistan,107.2,106.9,108.5,AFG
Albania,202.8,213.9,196.6,ALB
Algeria,105.8,108.7,104.9,DZA
Angola,95.7,92.9,99.7,AGO
Argentina,206.2,232.1,193,ARG
Armenia,207.5,260.4,172.8,ARM
Australia,314.1,360.5,274.4,AUS
Austria,232.7,275.4,200.6,AUT
Azerbaijan,157.9,173.6,147.7,AZE
Bahamas,156.4,170.2,149.6,BHS
Bahrain,129.6,136.7,130.9,BHR
Bangladesh,124.8,111.5,138.8,BGD
Barbados,207.9,251.3,189.1,BRB
Belarus,213.1,269,186.7,BLR
Belgium,306.8,351.3,275.7,BEL
Belize,115,130.6,102.3,BLZ
Benin,103.3,86.5,121.3,BEN
Bhutan,126.6,124.8,130.5,BTN
Bolivia,121.6,101,141.8,???
Bosnia Herzegovena,161.9,198.3,133.6,???
Botswana,85.7,88.8,85.4,BWA
Brazil,171.3,190.4,158.1,BRA
Brunei,162.4,176.7,153.5,???
Bulgaria,224.7,252.9,206.6,BGR
Burkina Faso,103.9,89.5,117.7,BFA
Burundi,124.5,118.1,132.6,BDI
Cambodia,133.1,152.9,123,KHM
Cameroon,92.1,88.8,96.5,CMR
Canada,296.6,325.9,275,CAN
Cape Verde,103.1,88.2,115.6,CPV
Central African Republic,89.7,88.2,92.2,CAF
Chad,94.2,85.6,103.3,TCD
Chile,176.7,203,159.5,CHL
China,181,211,152.4,CHN
Colombia,150.2,160.8,144.1,COL
Comoros,101.5,94.8,109.8,COM
"Congo, Democratic Republic of",90.8,87.4,95.7,???
"Congo, Republic of",90.7,85.7,96.4,???
Costa Rica,176.3,191.2,165.9,CRI
Cote d Ivoire,90.9,82.9,101.1,???
Croatia,263.1,315,229.3,HRV
Cuba,193,213.4,175.9,CUB
Cyprus,178.8,187.2,174.5,CYP
Czech Republic,295,348.8,259.1,CZE
Denmark,326.1,334.7,325.3,DNK
Djibouti,98,101.5,96,DJI
Dominican Republic,151.7,154.5,149.6,DOM
Ecuador,160.5,153.4,169.3,ECU
Egypt,108.4,118.3,100.3,EGY
El Salvador,135.9,103.4,162.1,SLV
Equatorial Guinea,90.5,86.7,95.6,GNQ
Eritrea,95.8,99.2,95.1,ERI
Estonia,230.4,285.7,203.7,EST
Ethiopia,107.1,108.8,106.6,ETH
Fiji,128.9,102.8,156.8,FJI
Finland,249.8,271.3,239.8,FIN
France (metropolitan),300.4,360.6,254.9,???
"France, Guadeloupe",196.9,245.9,154.8,???
"France, La Reunion",190.2,252.9,142.6,???
"France, Martinique",234.9,315.4,173.8,???
French Guyana,170.8,212.1,132.3,???
French Polynesia,269.6,289.7,256.8,PYF
FYR Macedonia,225.1,262.1,196.5,???
Gabon,91.9,88.8,96.5,GAB
Gaza Strip and West Bank,54.9,62.5,49.7,???
Georgia,127.9,139.8,121.5,GEO
Germany,282.1,330.7,245.7,DEU
Ghana,109.5,93.8,125.5,GHA
Greece,160,190,136.2,GRC
Guam,157.9,152.9,165.4,GUM
Guatemala,154,144.9,162.2,GTM
Guinea,111.6,96.1,128,GIN
Guinea-Bissau,103.9,89.3,118.6,GNB
Guyana,150.2,143.2,162.5,GUY
Haiti,133.8,158.2,113.9,HTI
Honduras,180.5,181.6,181.6,HND
Hungary,282.9,352.3,235.6,HUN
Iceland,282.2,305.5,265.6,ISL
India,98.5,92.9,105.5,IND
Indonesia,143.5,145.9,144.6,IDN
"Iran, Islamic Republic of",107.3,126.1,87.5,IRN
Iraq,104.9,115.6,100.7,IRQ
Ireland,317,355.9,285.1,IRL
Israel,288.3,303.7,280.4,ISR
Italy,274.3,310,251.6,ITA
Jamaica,187.8,171.8,205.1,JAM
Japan,201.1,247.3,167.6,JPN
Jordan,128.9,124.7,133.6,JOR
Kazakhstan,186.5,225.4,166.5,KAZ
Kenya,132.8,129.5,136.8,KEN
"Korea, Democratic Republic of",130.3,124.9,140.1,???
"Korea, Republic of",262.4,309.4,234.4,KOR
Kuwait,117.2,101.9,148.5,KWT
Kyrgyzstan,147.5,152.7,145.9,KGZ
Lao PDR,146.1,154.1,140.9,???
Latvia,230.4,304,193.4,LVA
Lebanon,169.6,177.8,162.1,LBN
Lesotho,99.4,113.8,89.5,LSO
Liberia,101.2,88.8,114.1,LBR
Libya,111.3,120.7,102.7,LBY
Lithuania,244.4,316.5,207.8,LTU
Luxembourg,284,324,254.4,LUX
Madagascar,135,155.8,116.5,MDG
Malawi,149,138.1,158.7,MWI
Malaysia,142.9,142.9,145.2,MYS
Maldives,105,109.3,99.6,MDV
Mali,120,96.2,140.7,MLI
Malta,211.4,233.2,199.7,MLT
Mauritania,103,89.1,118,MRT
Mauritius,110.5,105.9,119.4,MUS
Mexico,128.4,132.9,126.2,MEX
Mongolia,242.2,281.5,210.8,MNG
Montenegro,204.3,231.2,185.2,MNE
Morocco,101.9,99.5,105.1,MAR
Mozambique,123.5,117.4,129.9,MOZ
Myanmar,152.9,141,164.8,MMR
Namibia,78.3,84.6,73.9,NAM
Nepal,141.6,127.5,154.2,NPL
New Caledonia,218.5,234.4,208.4,NCL
New Zealand,309.2,337.6,287.1,NZL
Nicaragua,140.2,128.4,152.2,NIC
Niger,86.4,68.6,106.8,NER
Nigeria,111.7,95.1,128.4,NGA
Norway,299.1,338.4,270.3,NOR
Oman,87.6,82.2,100.8,OMN
Pakistan,114.7,106.5,123.4,PAK
Panama,143.9,150.9,138.6,PAN
Papua New Guinea,139,154.7,125.2,PNG
Paraguay,166.3,175,160.7,PRY
Peru,157.1,140.9,174.9,PER
Philippines,116.1,118.7,115.2,PHL
Poland,222.9,280.5,185.5,POL
Portugal,223.2,266.8,190.8,PRT
Puerto Rico,194,253.6,149.8,PRI
Qatar,116.9,118.8,134.8,QAT
Republic of Moldova,186,217,167.1,???
Romania,205.1,240.6,179.5,ROU
Russian Federation,200.5,247.1,178.9,RUS
Rwanda,126.8,120.2,134.3,RWA
Samoa,93.1,94.2,96.1,WSM
Saudi Arabia,87.6,87.7,92.2,SAU
Senegal,103.1,88.4,117.1,SEN
Serbia,218.9,238.5,205.2,SRB
Sierra Leone,102.7,88.8,114.4,SLE
Singapore,196,208.2,188.4,SGP
Slovakia,260.6,320.2,223.4,SVK
Slovenia,267.9,319.6,232.9,SVN
Solomon Islands,92.9,80.9,105.2,SLB
Somalia,113.5,113.6,114.5,SOM
South African Republic,202,254.8,170.1,???
Spain,241.4,309.9,187,ESP
Sri Lanka,111,107.2,116.1,LKA
Sudan,81.5,81.6,82.2,SDN
Suriname,144.5,152.4,143.1,SUR
Swaziland,103.1,108.1,101.4,SWZ
Sweden,252.1,269.6,241.2,SWE
Switzerland,269.3,313.2,236,CHE
Syrian Arab Republic,72.2,76.6,69.3,SYR
"Taiwan, China",244.1,282.3,208.5,???
Tajikistan,98.3,93.2,103.7,TJK
Tanzania,87.2,84.1,91.1,???
Thailand,150.5,146,156.1,THA
The Gambia,91.3,91.7,91.5,???
The Netherlands,286.8,306.3,276.5,???
Timor-Leste,123.3,129.7,118.2,TLS
Togo,101.5,89.2,114.8,TGO
Trinidad and Tobago,153.4,206.9,121,TTO
Tunisia,121.9,143.1,102.8,TUN
Turkey,144.8,182.3,112.8,TUR
Turkmenistan,132.6,143.4,124.8,TKM
Uganda,171.9,156.9,186.8,UGA
Ukraine,191.9,231.1,173,UKR
United Arab Emirates,88.8,80.5,120.3,ARE
United Kingdom,266.9,280,260.5,GBR
United States of America,300.2,335,274.4,???
Uruguay,280.3,354.4,230.7,URY
Uzbekistan,89.2,88.3,91.2,UZB
Vanuatu,113.9,100.8,126.6,VUT
Venezuela,152.6,150.4,157.5,???
Viet Nam,138.7,154.4,127.7,VNM
Western Sahara,109.8,97.7,125.4,ESH
Yemen,89.8,84.6,95.8,YEM
Zambia,140.8,137.3,144.7,ZMB
Zimbabwe,159.1,156,159.6,ZWE
